rabbit,condition,h,tid,animal,animal2,aorta.mass,blood1,blood2,ord,pixel,intensity,tid.scale,tid.scale2,log.intensity,scale.intensity,scale.log.intensity
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p1,4.4561,-1.12180067853933,-1.01060908912434,1.49427394402488,-1.09928489752089,-1.26460977517584
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p2,5.7514,-1.12180067853933,-1.01060908912434,1.74944330343411,-0.898727081361713,-0.852643455232317
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p3,4.5176,-1.12180067853933,-1.01060908912434,1.50798087937649,-1.08976254309042,-1.24248017573028
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p4,10.013,-1.12180067853933,-1.01060908912434,2.30388424872567,-0.238882111591039,0.0424914323834753
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p5,5.0715,-1.12180067853933,-1.01060908912434,1.62363663183391,-1.00399941920362,-1.05575605324749
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p6,3.8936,-1.12180067853933,-1.01060908912434,1.35933417953711,-1.18637960267764,-1.48246758662616
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p7,6.1105,-1.12180067853933,-1.01060908912434,1.81000860289592,-0.843125821589644,-0.75486187364538
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p8,7.4068,-1.12180067853933,-1.01060908912434,2.00239849718152,-0.642413170399076,-0.444251865740573
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p9,5.8075,-1.12180067853933,-1.01060908912434,1.75915018566243,-0.890040836100746,-0.836971869274722
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p10,11.428,-1.12180067853933,-1.01060908912434,2.43606648436853,-0.019790542174504,0.255897263341281
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p11,4.8227,-1.12180067853933,-1.01060908912434,1.57333393720322,-1.0425223750134,-1.13696884477633
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p12,7.0952,-1.12180067853933,-1.01060908912434,1.95941849908011,-0.69065976618013,-0.513642296041511
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p13,3.7836,-1.12180067853933,-1.01060908912434,1.33067593735688,-1.20341145613052,-1.52873580078155
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p14,4.4965,-1.12180067853933,-1.01060908912434,1.50329931637243,-1.09302956225274,-1.25003847460609
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p15,3.0813,-1.12180067853933,-1.01060908912434,1.12535158585773,-1.31215209867556,-1.86022825613642
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p16,5.6012,-1.12180067853933,-1.01060908912434,1.72298086049949,-0.921983303076457,-0.89536659118301
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p17,8.6524,-1.12180067853933,-1.01060908912434,2.15783673910721,-0.449550655299969,-0.193299632867192
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p18,11.146,-1.12180067853933,-1.01060908912434,2.41108068914734,-0.0634540210264211,0.21555814844142
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p19,9.2858,-1.12180067853933,-1.01060908912434,2.22848635156695,-0.351478146417685,-0.0792371101651671
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p20,2.6601,-1.12180067853933,-1.01060908912434,0.978363716071934,-1.37736861389693,-2.09753751588527
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p21,8.1672,-1.12180067853933,-1.01060908912434,2.10012613287267,-0.524676612530289,-0.286472363822027
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p22,7.4854,-1.12180067853933,-1.01060908912434,2.01295445665748,-0.630243136931839,-0.427209459909211
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p23,5.5633,-1.12180067853933,-1.01060908912434,1.71619145737594,-0.92785155076613,-0.90632795984379
statin_1_05h1.txt,statin,h1,362524800,TrazSt#1,atorva_1,4.6938,0.182750720103787,0.175595809778794,1,p24,4.9528,-1.12180067853933,-1.01060908912434,1.59995307322289,-1.02237833742959,-1.09399273067122
